"id","age"
1003265,74
1003271,76
1003282,54
1003298,67
1003307,75
1003310,52
1003324,59
1003338,66
1003346,61
1003352,68
1003361,56
1003375,60
1003383,64
1003399,53
1003400,69
1003413,47
1003428,57
1003435,73
1003444,75
1003456,54
1003469,53
1003472,64
1003481,49
1003497,67
1003501,56
1003519,68
1003522,71
1003536,54
1003545,48
1003558,67
1003560,72
1003574,70
1003587,54
1003593,57
1003605,52
1003618,57
1003623,65
1003630,64
1003641,52
1003659,72
1003666,70
1003677,56
1003684,64
1003692,71
1003708,69
1003714,53
1003720,66
1003737,73
1003743,70
1003751,67
1003762,59
1003779,71
1003786,71
1003795,70
1003806,67
1003812,71
1003829,65
1003831,71
1003847,64
1003850,62
1003868,68
1003873,69
1003885,62
1003894,52
1003909,75
1003917,68
1003926,71
1003934,59
1003942,55
1003955,60
1003963,66
1003978,69
1003980,59
1003991,71
1004001,68
1004019,68
1004022,51
1004036,66
1004045,72
1004058,60
1004060,67
1004074,66
1004087,69
1004093,65
1004106,72
1004112,66
1004129,70
1004131,74
1004147,73
1004150,56
1004168,69
1004173,55
1004185,68
1004194,50
1004200,63
1004213,51
1004228,53
1004235,67
1004244,63
1004256,72
1004269,57
1004272,48
1004281,78
1004297,69
1004308,72
1004314,65
1004320,63
1004337,57
1004343,68
1004351,59
1004362,54
1004379,72
1004386,73
1004395,77
1004404,50
1004416,62
1004427,68
1004439,53
1004440,67
1004453,65
1004465,69
1004471,69
1004482,75
1004498,70
1004502,64
1004515,67
1004521,61
1004533,59
1004549,72
1004557,56
1004564,64
1004570,66
1004588,62
1004596,66
1004609,69
1004617,63
1004626,69
1004634,56
1004642,56
1004655,53
1004663,55
1004678,63
1004680,61
1004691,74
1004707,58
1004710,76
1004724,64
1004738,71
1004746,69
1004752,71
1004761,64
1004775,70
1004783,55
1004799,67
1004803,64
1004811,70
1004825,50
1004832,59
1004848,62
1004854,66
1004867,60
1004876,61
1004889,61
1004890,57
1004905,48
1004918,73
1004923,70
1004930,58
1004941,70
1004959,59
1004966,65
1004977,62
1004984,69
1004992,72
1005007,63
1005010,49
1005024,54
1005038,62
1005046,62
1005052,67
1005061,53
1005075,53
1005083,67
1005099,66
1005108,64
1005114,67
1005120,51
1005137,61
1005143,76
1005151,72
1005162,69
1005179,61
1005186,66
1005195,59
1005201,76
1005219,69
1005222,68
1005236,58
1005245,67
1005258,60
1005260,67
1005274,53
1005287,57
1005293,57
1005302,60
1005315,62
1005321,52
1005333,71
1005349,70
1005357,72
1005364,58
1005370,68
1005388,61
1005396,62
1005405,70
1005418,65
1005423,61
1005430,54
1005441,61
1005459,54
1005466,60
1005477,79
1005484,66
1005492,70
1005504,55
1005516,65
1005527,71
1005539,69
1005540,49
1005553,74
1005565,67
1005571,77
1005582,58
1005598,52
1005600,60
1005613,48
1005628,59
1005635,53
1005644,47
1005656,54
1005669,70
1005672,71
1005681,64
1005697,72
1005703,59
1005711,69
1005725,70
1005732,67
1005748,71
1005754,62
1005767,57
1005776,66
1005789,74
1005790,68
1005809,78
1005817,64
1005826,72
1005834,71
1005842,67
1005855,59
1005863,58
1005878,55
1005880,67
1005891,47
1005906,55
1005912,59
1005929,63
1005931,64
1005947,52
1005950,70
1005968,74
1005973,60
1005985,72
1005994,68
1006003,60
1006011,74
1006025,66
1006032,69
1006048,54
1006054,64
1006067,74
1006076,57
1006089,72
1006090,64
1006102,51
1006115,64
1006121,76
1006133,62
1006149,64
1006157,51
1006164,65
1006170,79
1006188,58
1006196,64
1006207,65
1006210,50
1006224,68
1006238,62
1006246,51
1006252,68
1006261,69
1006275,57
1006283,61
1006299,64
1006304,59
1006316,59
1006327,61
1006339,55
1006340,58
1006353,64
1006365,72
1006371,62
1006382,64
1006398,76
1006406,58
1006412,55
1006429,68
1006431,70
1006447,65
1006450,64
1006468,60
1006473,73
1006485,74
1006494,47
1006505,49
1006518,75
1006523,73
1006530,55
1006541,67
1006559,69
1006566,68
1006577,65
1006584,57
1006592,69
1006601,69
1006619,63
1006622,67
1006636,68
1006645,74
1006658,53
1006660,59
1006674,
1006687,66
1006693,54
1006709,57
1006717,67
1006726,49
1006734,61
1006742,53
1006755,65
1006763,76
1006778,58
1006780,64
1006791,63
1006800,54
1006813,69
1006828,56
1006835,65
1006844,67
1006856,49
1006869,56
1006872,65
1006881,69
1006897,59
1006908,77
1006914,71
1006920,55
1006937,67
1006943,77
1006951,53
1006962,51
1006979,60
1006986,62
1006995,66
1007004,71
1007016,72
1007027,62
1007039,75
1007040,53
1007053,55
1007065,63
1007071,56
1007082,75
1007098,72
1007109,54
1007117,54
1007126,72
1007134,72
1007142,57
1007155,64
1007163,69
1007178,74
1007180,64
1007191,65
1007205,54
1007218,57
1007223,71
1007230,51
1007241,51
1007259,59
1007266,53
1007277,56
1007284,65
1007292,69
1007303,79
1007311,52
1007325,67
1007332,71
1007348,53
1007354,67
1007367,68
1007376,60
1007389,62
1007390,54
1007401,66
1007419,64
1007422,80
1007436,66
1007445,66
1007458,77
1007460,56
1007474,63
1007487,67
1007493,76
1007507,74
1007510,56
1007524,53
1007538,56
1007546,59
1007552,72
1007561,64
1007575,70
1007583,55
1007599,72
1007606,52
1007612,70
1007629,67
1007631,75
1007647,65
1007650,63
1007668,54
1007673,62
1007685,64
1007694,71
1007702,65
1007715,67
1007721,67
1007733,64
1007749,72
1007757,68
1007764,64
1007770,71
1007788,62
1007796,75
1007808,57
1007814,63
1007820,67
1007837,77
1007843,51
1007851,59
1007862,53
1007879,50
1007886,65
1007895,69
1007900,59
1007913,65
1007928,66
1007935,53
1007944,57
1007956,72
1007969,55
1007972,56
1007981,47
1007997,63
1008009,66
1008017,65
1008026,67
1008034,55
1008042,64
1008055,65
1008063,69
1008078,57
1008080,57
1008091,75
1008104,76
1008116,59
1008127,65
1008139,65
1008140,67
1008153,75
1008165,55
1008171,55
1008182,58
1008198,70
1008203,64
1008211,55
1008225,57
1008232,54
1008248,69
1008254,64
1008267,65
1008276,74
1008289,60
1008290,67
1008305,64
1008318,69
1008323,52
1008330,75
1008341,71
1008359,65
1008366,68
1008377,77
1008384,75
1008392,69
1008408,60
1008414,65
1008420,74
1008437,57
1008443,64
1008451,57
1008462,76
1008479,56
1008486,65
1008495,63
1008506,71
1008512,67
1008529,62
1008531,69
1008547,66
1008550,63
1008568,50
1008573,67
1008585,66
1008594,73
1008607,76
1008610,69
1008624,55
1008638,69
1008646,69
1008652,53
1008661,64
1008675,63
1008683,55
1008699,73
1008700,47
1008713,53
1008728,52
1008735,74
1008744,62
1008756,51
1008769,61
1008772,66
1008781,52
1008797,61
1008801,60
1008819,60
1008822,56
1008836,73
1008845,73
1008858,62
1008860,67
1008874,68
1008887,65
1008893,60
1008902,65
1008915,61
1008921,69
1008933,49
1008949,51
1008957,58
1008964,70
1008970,72
1008988,59
1008996,71
1009008,65
1009014,51
1009020,66
1009037,54
1009043,51
1009051,71
1009062,64
1009079,73
1009086,63
1009095,59
1009107,58
1009110,66
1009124,65
1009138,67
1009146,69
1009152,74
1009161,56
1009175,62
1009183,57
1009199,73
1009202,55
1009215,47
1009221,71
1009233,71
1009249,55
1009257,50
1009264,54
1009270,67
1009288,65
1009296,70
1009301,54
1009319,58
1009322,75
1009336,56
1009345,76
1009358,67
1009360,73
1009374,63
1009387,53
1009393,60
1009409,66
1009417,73
1009426,59
1009434,65
1009442,65
1009455,54
1009463,64
1009478,70
1009480,62
1009491,65
1009500,57
1009513,71
1009528,60
1009535,54
1009544,63
1009556,54
1009569,70
1009572,59
1009581,68
1009597,60
1009604,65
1009616,75
1009627,57
1009639,56
1009640,72
1009653,56
1009665,58
1009671,63
1009682,52
1009698,61
1009706,53
1009712,51
1009729,66
1009731,60
1009747,49
1009750,63
1009768,71
1009773,59
1009785,69
1009794,68
1009805,74
1009818,58
1009823,65
1009830,72
1009841,55
1009859,67
1009866,76
1009877,50
1009884,57
1009892,76
1009903,55
1009911,63
1009925,55
1009932,72
1009948,78
1009954,64
1009967,65
1009976,69
1009989,66
1009990,63
1010004,73
1010016,75
1010027,62
1010039,71
1010040,64
1010053,52
1010065,51
1010071,51
1010082,65
1010098,68
1010109,50
1010117,79
1010126,74
1010134,62
1010142,71
1010155,62
1010163,68
1010178,57
1010180,59
1010191,57
1010205,64
1010218,58
1010223,64
1010230,63
1010241,62
1010259,58
1010266,60
1010277,57
1010284,55
1010292,67
1010303,70
1010311,67
1010325,72
1010332,50
1010348,49
1010354,57
1010367,71
1010376,73
1010389,63
1010390,52
1010401,66
1010419,49
1010422,68
1010436,78
1010445,74
1010458,65
1010460,69
1010474,70
1010487,55
1010493,75
1010507,63
1010510,70
1010524,51
1010538,59
1010546,66
1010552,54
1010561,67
1010575,74
1010583,73
1010599,57
1010606,71
1010612,76
1010629,68
1010631,67
1010647,73
1010650,74
1010668,53
1010673,56
1010685,72
1010694,55
1010702,59
1010715,59
1010721,62
1010733,51
1010749,65
1010757,73
1010764,62
1010770,72
1010788,54
1010796,68
1010808,70
1010814,50
1010820,58
1010837,54
1010843,60
1010851,61
1010862,70
1010879,69
1010886,65
1010895,72
1010900,54
1010913,57
1010928,70
1010935,64
1010944,65
1010956,67
1010969,57
1010972,68
1010981,64
1010997,63
1011002,73
1011015,72
1011021,62
1011033,72
1011049,70
1011057,59
1011064,78
1011070,61
1011088,69
1011096,66
1011103,62
1011111,65
1011125,64
1011132,73
1011148,51
1011154,62
1011167,55
1011176,62
1011189,64
1011190,66
1011204,68
1011216,69
1011227,66
1011239,70
1011240,64
1011253,73
1011265,55
1011271,66
1011282,68
1011298,49
1011307,70
1011310,49
1011324,65
1011338,57
1011346,60
1011352,68
1011361,57
1011375,58
1011383,74
1011399,64
1011400,76
1011413,58
1011428,64
1011435,61
1011444,71
1011456,70
1011469,70
1011472,64
1011481,74
1011497,47
1011501,63
1011519,61
1011522,67
1011536,77
1011545,62
1011558,62
1011560,69
1011574,71
1011587,71
1011593,55
1011605,74
1011618,61
1011623,66
1011630,63
1011641,66
1011659,75
1011666,58
1011677,71
1011684,56
1011692,61
1011708,55
1011714,75
1011720,58
1011737,56
1011743,50
1011751,55
1011762,69
1011779,58
1011786,60
1011795,66
1011806,68
1011812,68
1011829,61
1011831,56
1011847,64
1011850,53
1011868,48
1011873,56
1011885,50
1011894,68
1011909,66
1011917,75
1011926,71
1011934,66
1011942,78
1011955,61
1011963,71
1011978,62
1011980,73
1011991,69
1012003,68
1012011,60
1012025,55
1012032,68
1012048,72
1012054,56
1012067,72
1012076,68
1012089,57
1012090,62
1012102,68
1012115,49
1012121,66
1012133,64
1012149,59
1012157,66
1012164,65
1012170,61
1012188,66
1012196,49
1012207,58
1012210,56
1012224,67
1012238,58
1012246,65
1012252,61
1012261,50
1012275,62
1012283,70
1012299,63
1012304,70
1012316,65
1012327,56
1012339,72
1012340,79
1012353,56
1012365,67
1012371,60
1012382,58
1012398,67
1012406,69
1012412,69
1012429,71
1012431,59
1012447,61
1012450,70
1012468,56
1012473,48
1012485,71
1012494,57
1012505,63
1012518,58
1012523,69
1012530,62
1012541,73
1012559,51
1012566,67
1012577,68
1012584,50
1012592,63
1012601,76
1012619,69
1012622,76
1012636,73
1012645,51
1012658,69
1012660,71
1012674,69
1012687,66
1012693,77
1012709,54
1012717,55
1012726,70
1012734,67
1012742,59
1012755,67
1012763,48
1012778,50
1012780,59
1012791,53
1012800,65
1012813,64
1012828,69
1012835,67
1012844,66
1012856,50
1012869,72
1012872,66
1012881,66
1012897,56
1012908,60
1012914,62
1012920,63
1012937,51
1012943,68
1012951,56
1012962,70
1012979,68
1012986,75
1012995,59
1013006,62
1013012,57
1013029,57
1013031,72
1013047,72
1013050,53
1013068,71
1013073,69
1013085,61
1013094,53
1013101,60
1013119,68
1013122,67
1013136,74
1013145,58
1013158,73
1013160,64
1013174,67
1013187,55
1013193,52
1013208,59
1013214,65
1013220,48
1013237,77
1013243,67
1013251,68
1013262,68
1013279,54
1013286,59
1013295,75
1013300,62
1013313,64
1013328,61
1013335,66
1013344,77
1013356,59
1013369,62
1013372,49
1013381,69
1013397,66
1013403,54
1013411,60
1013425,62
1013432,75
1013448,61
1013454,64
1013467,57
1013476,67
1013489,59
1013490,72
1013509,69
1013517,66
1013526,72
1013534,57
1013542,69
1013555,66
1013563,69
1013578,73
1013580,68
1013591,63
1013602,59
1013615,65
1013621,60
1013633,71
1013649,75
1013657,65
1013664,56
1013670,71
1013688,64
1013696,61
1013705,69
1013718,50
1013723,66
1013730,67
1013741,72
1013759,70
1013766,78
1013777,76
1013784,72
1013792,53
1013804,64
1013816,66
1013827,66
1013839,50
1013840,60
1013853,68
1013865,58
1013871,65
1013882,66
1013898,54
1013907,49
1013910,63
1013924,68
1013938,54
1013946,67
1013952,69
1013961,62
1013975,53
1013983,63
1013999,60
1014009,65
1014017,57
1014026,57
1014034,63
1014042,67
1014055,67
1014063,77
1014078,63
1014080,68
1014091,77
1014104,60
1014116,51
1014127,70
1014139,72
1014140,64
1014153,57
1014165,52
1014171,65
1014182,49
1014198,62
1014203,
1014211,73
1014225,64
1014232,54
1014248,68
1014254,65
1014267,64
1014276,69
1014289,54
1014290,69
1014305,75
1014318,71
1014323,54
1014330,64
1014341,51
1014359,61
1014366,70
1014377,57
1014384,74
1014392,65
1014408,53
1014414,50
1014420,67
1014437,70
1014443,59
1014451,58
1014462,70
1014479,64
1014486,48
1014495,51
1014506,64
1014512,66
1014529,59
1014531,52
1014547,55
1014550,53
1014568,51
1014573,65
1014585,68
1014594,54
1014607,50
1014610,72
1014624,53
1014638,54
1014646,54
1014652,63
1014661,52
1014675,56
1014683,63
1014699,64
1014700,62
1014713,63
1014728,53
1014735,70
1014744,60
1014756,69
1014769,69
1014772,60
1014781,76
1014797,71
1014801,56
1014819,69
1014822,59
1014836,70
1014845,53
1014858,65
1014860,70
1014874,63
1014887,62
1014893,63
1014902,71
1014915,63
1014921,62
1014933,73
1014949,68
1014957,51
1014964,70
1014970,70
1014988,58
1014996,65
1015000,67
1015013,69
1015028,53
1015035,56
1015044,68
1015056,55
1015069,60
1015072,53
1015081,68
1015097,76
1015105,66
1015118,77
1015123,60
1015130,54
1015141,74
1015159,73
1015166,56
1015177,76
1015184,65
1015192,59
1015209,56
1015217,73
1015226,55
1015234,75
1015242,70
1015255,67
1015263,67
1015278,64
1015280,64
1015291,56
1015306,58
1015312,70
1015329,64
1015331,65
1015347,62
1015350,72
1015368,74
1015373,65
1015385,60
1015394,47
1015402,61
1015415,52
1015421,71
1015433,72
1015449,69
1015457,62
1015464,64
1015470,55
1015488,50
1015496,63
1015508,70
1015514,59
1015520,69
1015537,51
1015543,68
1015551,68
1015562,63
1015579,64
1015586,70
1015595,57
1015603,70
1015611,62
1015625,75
1015632,58
1015648,69
1015654,68
1015667,65
1015676,76
1015689,69
1015690,75
1015701,64
1015719,71
1015722,69
1015736,67
1015745,51
1015758,53
1015760,58
1015774,71
1015787,72
1015793,73
1015807,63
1015810,68
1015824,69
1015838,70
1015846,66
1015852,52
1015861,47
1015875,54
1015883,71
1015899,71
1015904,65
1015916,65
1015927,65
1015939,57
1015940,53
1015953,70
1015965,58
1015971,61
1015982,60
1015998,63
1016001,50
1016019,78
1016022,70
1016036,50
1016045,58
1016058,66
1016060,60
1016074,69
1016087,64
1016093,65
1016106,69
1016112,71
1016129,55
1016131,64
1016147,47
1016150,65
1016168,55
1016173,57
1016185,59
1016194,64
1016200,56
1016213,50
1016228,76
1016235,70
1016244,52
1016256,52
1016269,69
1016272,70
1016281,69
1016297,77
1016308,61
1016314,71
1016320,60
1016337,65
1016343,67
1016351,67
1016362,66
1016379,55
1016386,70
1016395,67
1016404,69
1016416,60
1016427,69
1016439,65
1016440,48
1016453,70
1016465,54
1016471,63
1016482,63
1016498,72
1016502,64
1016515,69
1016521,57
1016533,54
1016549,54
1016557,70
1016564,62
1016570,53
1016588,75
1016596,66
1016609,69
1016617,60
1016626,75
1016634,66
1016642,71
1016655,73
1016663,70
1016678,51
1016680,62
1016691,74
1016707,63
1016710,70
1016724,70
1016738,56
1016746,73
1016752,61
1016761,54
1016775,52
1016783,55
1016799,67
1016803,76
1016811,70
1016825,61
1016832,60
1016848,72
1016854,62
1016867,64
1016876,66
1016889,74
1016890,64
1016905,78
1016918,67
1016923,62
1016930,63
1016941,55
1016959,69
1016966,70
1016977,56
1016984,59
1016992,69
1017008,66
1017014,56
1017020,73
1017037,73
1017043,70
1017051,64
1017062,57
1017079,56
1017086,69
1017095,60
1017107,52
1017110,56
1017124,67
1017138,
1017146,53
1017152,75
1017161,66
1017175,56
1017183,78
1017199,52
1017202,70
1017215,68
1017221,65
1017233,70
1017249,67
1017257,55
1017264,70
1017270,52
1017288,73
1017296,59
1017301,75
1017319,49
1017322,74
1017336,59
1017345,59
1017358,71
1017360,61
1017374,54
1017387,54
1017393,64
1017409,72
1017417,53
1017426,60
1017434,72
1017442,70
1017455,80
1017463,65
1017478,52
1017480,58
1017491,62
1017500,53
1017513,58
1017528,79
1017535,74
1017544,67
1017556,65
1017569,73
1017572,57
1017581,59
1017597,62
1017604,59
1017616,72
1017627,71
1017639,62
1017640,66
1017653,70
1017665,73
1017671,68
1017682,52
1017698,49
1017706,61
1017712,64
1017729,57
1017731,64
1017747,70
1017750,69
1017768,78
1017773,55
1017785,56
1017794,71
1017805,72
1017818,74
1017823,76
1017830,63
1017841,71
1017859,63
1017866,48
1017877,55
1017884,55
1017892,56
1017903,63
1017911,60
1017925,73
1017932,61
1017948,54
1017954,57
1017967,69
1017976,55
1017989,70
1017990,66
1018007,51
1018010,70
1018024,51
1018038,51
1018046,59
1018052,72
1018061,66
1018075,70
1018083,56
1018099,61
1018108,73
1018114,61
1018120,
1018137,71
1018143,65
1018151,67
1018162,69
1018179,72
1018186,71
1018195,76
1018201,68
1018219,50
1018222,59
1018236,77
1018245,72
1018258,51
1018260,70
1018274,67
1018287,58
1018293,58
1018302,70
1018315,59
1018321,68
1018333,60
1018349,72
1018357,62
1018364,55
1018370,55
1018388,61
1018396,58
1018405,67
1018418,77
1018423,75
1018430,75
1018441,65
1018459,68
1018466,68
1018477,56
1018484,68
1018492,62
1018504,67
1018516,60
1018527,59
1018539,59
1018540,70
1018553,75
1018565,64
1018571,66
1018582,72
1018598,62
1018600,54
1018613,55
1018628,51
1018635,68
1018644,75
1018656,63
1018669,71
1018672,56
1018681,69
1018697,60
1018703,70
1018711,77
1018725,54
1018732,72
1018748,53
1018754,64
1018767,52
1018776,70
1018789,52
1018790,61
1018809,71
1018817,62
1018826,61
1018834,55
1018842,65
1018855,63
1018863,60
1018878,56
1018880,67
1018891,65
1018906,57
1018912,50
1018929,58
1018931,73
1018947,56
1018950,63
1018968,67
1018973,72
1018985,66
1018994,59
1019005,67
1019018,68
1019023,67
1019030,73
1019041,68
1019059,70
1019066,59
1019077,63
1019084,65
1019092,61
1019100,69
1019113,69
1019128,70
1019135,75
1019144,51
1019156,67
1019169,59
1019172,71
1019181,73
1019197,70
1019206,69
1019212,76
1019229,60
1019231,66
1019247,63
1019250,60
1019268,61
1019273,66
1019285,70
1019294,64
1019309,79
1019317,57
1019326,69
1019334,48
1019342,55
1019355,64
1019363,49
1019378,69
1019380,55
1019391,76
1019407,63
1019410,55
1019424,70
1019438,78
1019446,69
1019452,59
1019461,51
1019475,58
1019483,50
1019499,66
1019503,52
1019511,64
1019525,71
1019532,64
1019548,71
1019554,60
1019567,59
1019576,49
1019589,53
1019590,55
1019608,62
1019614,71
1019620,73
1019637,52
1019643,52
1019651,58
1019662,73
1019679,77
1019686,62
1019695,60
1019704,65
1019716,70
1019727,73
1019739,50
1019740,67
1019753,50
1019765,63
1019771,49
1019782,63
1019798,74
1019802,58
1019815,76
1019821,67
1019833,57
1019849,51
1019857,54
1019864,75
1019870,52
1019888,63
1019896,76
1019901,70
1019919,53
1019922,63
1019936,54
1019945,66
1019958,65
1019960,64
1019974,76
1019987,52
1019993,69
1020009,48
1020017,69
1020026,69
1020034,66
1020042,67
1020055,69
1020063,69
1020078,54
1020080,67
1020091,50
1020104,57
1020116,68
1020127,59
1020139,59
1020140,53
1020153,76
1020165,49
1020171,57
1020182,65
1020198,53
1020203,72
1020211,74
1020225,57
1020232,71
1020248,69
1020254,66
1020267,59
1020276,68
1020289,74
1020290,70
1020305,65
1020318,66
1020323,55
1020330,60
1020341,53
1020359,75
1020366,61
1020377,59
1020384,76
1020392,64
1020408,62
1020414,69
1020420,69
1020437,67
1020443,59
1020451,70
1020462,55
1020479,52
1020486,59
1020495,57
1020506,59
1020512,78
1020529,55
1020531,65
1020547,58
1020550,55
1020568,69
1020573,48
1020585,68
1020594,65
1020607,57
1020610,67
1020624,66
1020638,55
1020646,62
1020652,57
1020661,69
1020675,68
1020683,64
1020699,52
1020700,47
1020713,55
1020728,61
1020735,56
1020744,68
1020756,55
1020769,58
1020772,66
1020781,70
1020797,57
1020801,70
1020819,69
1020822,50
1020836,59
1020845,71
1020858,65
1020860,56
1020874,67
1020887,66
1020893,74
1020902,50
1020915,63
1020921,76
1020933,75
1020949,54
1020957,55
1020964,71
1020970,49
1020988,56
1020996,50
1021000,61
1021013,54
1021028,74
1021035,57
1021044,57
1021056,69
1021069,73
1021072,64
1021081,61
1021097,60
1021105,59
1021118,61
1021123,63
1021130,57
1021141,73
1021159,71
1021166,56
1021177,59
1021184,58
1021192,68
1021209,55
1021217,67
1021226,53
1021234,66
1021242,57
1021255,76
1021263,78
1021278,67
1021280,74
1021291,71
1021306,65
1021312,66
1021329,64
1021331,68
1021347,71
1021350,53
1021368,57
1021373,54
1021385,53
1021394,52
1021402,52
1021415,50
1021421,68
1021433,61
1021449,59
1021457,66
1021464,58
1021470,66
1021488,52
1021496,56
1021508,75
1021514,60
1021520,70
1021537,66
1021543,63
1021551,68
1021562,71
1021579,68
1021586,71
1021595,60
1021603,76
1021611,
1021625,60
1021632,76
1021648,63
1021654,63
1021667,53
1021676,62
1021689,58
1021690,72
1021701,55
1021719,70
1021722,68
1021736,52
1021745,62
1021758,71
1021760,71
1021774,52
1021787,61
1021793,58
1021807,61
1021810,58
1021824,54
1021838,64
1021846,63
1021852,52
1021861,64
1021875,52
1021883,75
1021899,65
1021904,62
1021916,53
1021927,62
1021939,49
1021940,73
1021953,55
1021965,70
1021971,73
1021982,56
1021998,48
1022005,58
1022018,66
1022023,50
1022030,61
1022041,56
1022059,57
1022066,64
1022077,57
1022084,57
1022092,52
1022100,52
1022113,52
1022128,63
1022135,73
1022144,70
1022156,64
1022169,74
1022172,72
1022181,60
1022197,59
1022206,72
1022212,55
1022229,53
1022231,59
1022247,56
1022250,68
1022268,50
1022273,53
1022285,63
1022294,58
1022309,50
1022317,62
1022326,78
1022334,57
1022342,67
1022355,55
1022363,73
1022378,64
1022380,65
1022391,52
1022407,57
1022410,50
1022424,51
1022438,67
1022446,64
1022452,75
1022461,67
1022475,70
1022483,69
1022499,60
1022503,67
1022511,70
1022525,58
1022532,74
1022548,56
1022554,50
1022567,74
1022576,72
1022589,73
1022590,50
1022608,53
1022614,49
1022620,68
1022637,61
1022643,59
1022651,56
1022662,75
1022679,69
1022686,71
1022695,61
1022704,58
1022716,63
1022727,60
1022739,59
1022740,69
1022753,54
1022765,59
1022771,61
1022782,62
1022798,48
1022802,65
1022815,66
1022821,61
1022833,59
1022849,63
1022857,69
1022864,53
1022870,66
1022888,68
1022896,68
1022901,58
1022919,54
1022922,60
1022936,53
1022945,59
1022958,58
1022960,52
1022974,70
1022987,67
1022993,60
1023007,56
1023010,69
1023024,58
1023038,68
1023046,61
1023052,63
1023061,70
1023075,61
1023083,52
1023099,64
1023108,67
1023114,68
1023120,60
1023137,50
1023143,50
1023151,68
1023162,53
1023179,58
1023186,53
1023195,53
1023201,61
1023219,73
1023222,67
1023236,70
1023245,69
1023258,55
1023260,75
1023274,52
1023287,51
1023293,68
1023302,73
1023315,74
1023321,59
